,Reviews,Labels,Updated_reviews
17,"verr good service , excellent quality,  worth to order",1,verr good service excellent quality worth order
18,happy customer always🤗,1,happy customer always
19,Timely delivered. Superb quality. Thumbs up 👍 thanks daraz  happy customer 😁,1,timely deliver superb quality thumb thank daraz happy customer
20,"fresh and good quality
thank you daraz",1,fresh good quality thank daraz
21,the cauliflower quality was poor. very unhappy with the product,0,cauliflower quality poor unhappy product
22,Horrible stuff! ,0,horrible stuff
23,fresh vegetable,1,fresh vegetable
24,Fresh Products,1,fresh product
25,Now you are improving yourself 😉. keep it up👍,1,improve keep
26,Very bad ruined cauliflower,0,bad ruin cauliflower
27,All good and fresh,1,good fresh
28,fresh vegetables ,1,fresh vegetable
29,Fresh vegitable,1,fresh vegitable
30,A1 as always ,1,a1 always
31,excellent vegetables and perfect quality thanks for the best experience of daraz shopping and highly recommend to all.,1,excellent vegetable perfect quality thank good experience daraz shop highly recommend
32,"NOW A DAYS DARAZ IS A NAME OF CHEATING, VERY POOR QUALITY, LESS QUANTITY, VOUCHERS ARE EVER FRAUD, EXTREMELY LATE DELIVERY, NOT RECOMMENDED ",0,day daraz name cheat poor quality less quantity voucher ever fraud extremely late delivery recommend
33,excellent experience... used this option first time and it is simply great... no more visit to Sunday bazars.😀,1,excellent experience use option first time simply great visit sunday bazar
34,All veggies and fruits were fresh and of good quality. this time cauliflower was perfect too. thnx dfresh. ,1,veggie fruit fresh good quality time cauliflower perfect thnx dfresh
35,Actually ordered it from the office and without lifting a finger my family got the veges and they were fresh and looked freak. couldn't take picture but highly recommended.,1,actually order office without lift finger family get vege fresh look freak could not take picture highly recommend
36,I was worried the Cauliflower will not be good after reading the reviews but DFresh team has proved those bad reviews wrong. I have received fresh Phool Gobhi ,1,worried cauliflower good reading reviews dfresh team prove bad review wrong receive fresh phool gobhi
37,"Unprofessional staff, delivery guys did not give a receipt and there was a quantity shortage. Daraz customer service is the worst I have ever witnessed. ",0,unprofessional staff delivery guy give receipt quantity shortage daraz customer service worst ever witness
38,"Quantity shortage in my order. Daraz is not doing anything about my complaint filed over 24h ago. I paid in advance, no receipt given with the order either. Horrible customer service.",0,quantity shortage order daraz anything complaint file 24h ago pay advance receipt give order either horrible customer service
39,"seller sent rotten vegetables, vegetables were rotten from outside as well. the seller responded after 2 days and matter took 2 weeks to resolved after involving daraz ",0,seller send rotten vegetable vegetable rotten outside well seller respond 2 day matter take 2 week resolve involve daraz
40,everything was of good quality and properly packed when delivered. Thank You Dear Team ,1,everything good quality properly pack deliver thank dear team
41,"very good and fresh vagitable ,good experience with daraz ,satisfied home delivery.",1,good fresh vagitable good experience daraz satisfy home delivery
42,BEST QUALITY AND RIGHT ON TIME. MUST ENJOY. IM A REGULAR Buyer of this store.,1,good quality right time must enjoy -PRON- be regular buyer store
43,"Always finds good and fresh products, recommended dFresh 👍

Thank U DarazPk",1,always find good fresh product recommend dfresh thank u darazpk
44,Excellent and fresh as always highly recommended dMart Lahore 😊,1,excellent fresh always highly recommend dmart lahore
45,"dMart is superb, quality of products is excellent keep it up 👍",1,dmart superb quality product excellent keep
46,Great experience. fresh veggies. love it . surely order again.,1,great experience fresh veggie love surely order
47,Zabrdas... Fresh... Fine rates also have delivered on time,1,zabrdas fresh fine rate also deliver time
48,"Very Fesh will order again , Thanks Daraz. Thanks Dfresh",1,fesh order thank daraz thank dfresh
49,item was fresh as described. highly recommended seller. ,1,item fresh describe highly recommend seller
50,"As usual top quality n fresh thumbs up 👍 
satisfied ",1,usual top quality n fresh thumb satisfy
51,i ordered 2kg cauliflower but receive onli 1 kg!!!,0,order 2 kg cauliflower receive onli 1 kg
52,good sized and quickly delivered. thank you daraz,1,good sized quickly deliver thank daraz
53,Nice n fresh. Surprisingly cheaper than market. ,1,nice n fresh surprisingly cheap market
54,Very good quality cauliflower delivered again ,1,good quality cauliflower deliver
55,i was delivered cabbage instead of cauliflower,0,deliver cabbage instead cauliflower
56,Quality is good and fresh item was delivered.,1,quality good fresh item deliver
57,fresh next day delivery.seller recommended,1,fresh next day deliveryseller recommend
58,fast delivery and fresh vegetables. superb,1,fast delivery fresh vegetable superb
59,fresh and clean highly recommend to all,1,fresh clean highly recommend
60,very good and fresh from dfresh ..... ,1,good fresh dfresh
61,Cauliflower was fresh and well packed ,1,cauliflower fresh well pack
62,good and fresh product from dfresh ,1,good fresh product dfresh
63,Very good Nd fresh product fresh,1,good nd fresh product fresh
64,smaller in size over all great,1,small size great
65,Fresh vegetables... Thnk you,1,fresh vegetable thnk
66,"It was good, upto the mark.",1,good upto mark
67,Excellent Quality and Fresh,1,excellent quality fresh
68,not good.. regretting,0,good regretting
69,best quilty sabzi ,1,good quilty sabzi
70,very good product ,1,good product
71,Very bad quality ,0,bad quality
72,Fresh vegetables,1,fresh vegetable
73,it was okay good,1,okay good
74,fresh as always,1,fresh always
75,Fresh items on ,1,fresh item
76,Fresh and Best,1,fresh best
77,"Price was very reasonable and is value for money, got fresh and good chilli vegetable within given time. I was surprised to got everything with good quality.",1,price reasonable value money get fresh good chilli vegetable within give time surprised get everything good quality
78,vegetables are fresh and good .. love the quality and quantity of vegetables.. know its easy to get things at doorsteps just bcz of daraz thanks you daraz 😍,1,vegetable fresh good love quality quantity vegetable know easy get thing doorsteps bcz daraz thank daraz
79,"vegetables are very fresh 
quality was also good 
love it surely order next time 
thankyou so much daraz ❤️😊",1,vegetable fresh quality also good love surely order next time thankyou much daraz
80,nice and good vegetables delivered if 5 to 10% of vegetables are damage I don't consider because these are fresh and they are not making it at home these are natural vegetables and can be rotten from some place. ,1,nice good vegetable deliver 5 10 vegetable damage do not consider fresh making home natural vegetable rotten place
81,"Got fresh and good vegetable and well packed, Price was very reasonable and is value for money, fully satisfied, Daraz dfresh",1,get fresh good vegetable well pack price reasonable value money fully satisfy daraz dfresh
82,german chilli are fresh and good quality at this reasonable price lowest price than open market. Thanks daraz.,1,german chilli fresh good quality reasonable price low price open market thank daraz
83,thanks for sending the good and fresh vegetables.... highly recommend 👍 ..... ,1,thank send good fresh vegetable highly recommend
84,German chilli was so nice ....fresh and large. ... low price ..... made mrchon ka salan the same day.... ,1,german chilli nice fresh large low price make mrchon ka salan day
85,Nice big chillies. Like the way it was packed in net & sent. Good job Dfresh,1,nice big chilli like way pack net send good job dfresh
86,Recieved very fresh quality German chillis and delivery was super quick i wanted to make peri bites for guests and it was not available anywhere but Thankfully found it on Daraz. ,1,recieve fresh quality german chillis delivery super quick want make peri bite guest available anywhere thankfully find daraz
87,All veggies are fresh and good ...thank u daraz and seller too...such a good vegetable in economic price at doorstep ...,1,veggie fresh good thank u daraz seller toosuch good vegetable economic price doorstep
88,"Premium Quality vegetables, all vegetables were fresh, well packed timely delivered fully satisfied with the seller.",1,premium quality vegetable vegetable fresh well pack timely deliver fully satisfied seller
89,Alhamduillah daraz gave me a very comfortable zone by providing such fresh and healthy products in economical prices at my doorstep...thanks daraz ...☺️,1,alhamduillah daraz give comfortable zone provide fresh healthy product economical price doorstepthanks daraz
90,"Amazing experience with complete freshness, affordable price, fully satisfied, Daraz dfresh German Mirch vegetables are neat and clean.",1,amazing experience complete freshness affordable price fully satisfy daraz dfresh german mirch vegetable neat clean
91,All vegetables are good and fresh . .daraz maintains its service quality always up. .got all vegetables in economic price .   thanks daraz ...,1,vegetable good fresh daraz maintain service quality always get vegetable economic price thank daraz
92,All vegetables are fresh clean and delivered in time. And in reasonable price as compared to common markets.,1,vegetable fresh clean deliver time reasonable price compare common market
93,good quality fresh product price is lowest then market price thankyou daraz and thankyou seller😊,1,good quality fresh product price low market price thankyou daraz thankyou seller
94,All vegetables are good and fresh... really amazing experience.. thanks daraza and seller too..,1,vegetable good fresh really amazing experience thank daraza seller
95,well done daraz zbrdast,1,well do daraz zbrdast
96,"Masha Allah all vegetables are fresh and Good condition, and delivered in time, Good Job.",1,masha allah vegetable fresh good condition deliver time good job
97,excellent quality and the main thing is that the price is alot cheaper than local market,1,excellent quality main thing price alot cheap local market
98,"100% authentic 
Big
Fresh
Safely Packed
Fast shipment
Economical

Highly Recommended :)",1,100 authentic big fresh safely pack fast shipment economical highly recommend
99,Very fresh and nice ,1,fresh nice
100,Fresh 👍👍👍 Good Quality 👍👍👍 Same as Described 👍👍👍 I Recommend to Buy 👍👍👍.,1,fresh good quality describe recommend buy
101,"Amazing, very juicy, very oily and had 1 glass coconut water inside. yummmm",1,amazing juicy oily 1 glass coconut water inside yummmm
102,Good nice and fresh vegetables at door step. happy shopping. Recommend it,1,good nice fresh vegetable door step happy shopping recommend
103,Premium German chilli is not so premium infact mix quality has delivered. kindly look at pic. also not a fresh item,0,premium german chilli premium infact mix quality deliver kindly look pic also fresh item
104,I ordered German chilli n u delivered big chillies for the 3rd time y u always deliver big chillies instead of German chillies ,0,order german chilli n u deliver big chilli 3rd time u always deliver big chilli instead german chilli
105,"I ordered German chilli, but they sent us big and rotten chillies. I called the seller , he gave his whatsapp number and he listened to my query.
2 days later he delivered me 1 kg lemon.. same as the price of chilli. impressed by your service and daraz. very good experience as always  keep it up😃😃",1,order german chilli send -PRON- big rotten chilli call seller give whatsapp number listen query 2 day later deliver 1 kg lemon price chilli impress service daraz good experience always keep
106,chillies are not fresh this time ,0,chilli fresh time
107,MASHALLAH everything is good 👍 ,1,mashallah everything good
108,Fresh and nice in this heavy raining season they delivered,1,fresh nice heavy rain season deliver
109,all vegetables are fresh Clean ad reasonable price as compare to our near market. good job.,1,vegetable fresh clean ad reasonable price compare near market good job
110,as usual good quality...,1,usual good quality
111,"very nice product , very fast delivery thanks for daraz",1,nice product fast delivery thank daraz
112,All vegetables are fresh Clean and in reasonable price.,1,vegetable fresh clean reasonable price
113,Excellent Quality...All vegetables are fresh and clean... will definitely order again...,1,excellent qualityall vegetable fresh clean definitely order
114,German chilli was bit hot but still made tasty curry,1,german chilli bit hot still make tasty curry
115,"was fresh and good quality, liked and recommended",1,fresh good quality like recommend
116,"fresh from Dfresh, thanks daraz for this service",1,fresh dfresh thank daraz service
117,fresh vegetables and better quality than  market,1,fresh vegetable well quality market
118,All vegetables are fresh clean and in reasonable price. And delivered in time.,1,vegetable fresh clean reasonable price deliver time
119,"fresh as always, well packed, quick delivery",1,fresh always well pack quick delivery
120,"good quality and fresh ,recommended to all",1,good quality fresh recommend
121,"well packed, fresh and timely delivery. ",1,well pack fresh timely delivery
122,love it ...very fresh and at best price ,1,love fresh good price
123,Best quality fruits and vegetables ...,1,good quality fruit vegetable
124,"fresh Quality low price
happy customer",1,fresh quality low price happy customer
125,"fresh, quick delivery, well received",1,fresh quick delivery well receive
126,Received fresh vegetables as always,1,receive fresh vegetable always
127,perfect and fresh with best price,1,perfect fresh good price
128,Mix 50% good and 50% very cheap,1,mix 50 good 50 cheap
129,"great experience, fresh mirchi, ",1,great experience fresh mirchi
130,good in quality and quantity,1,good quality quantity
131,Packaging thorugh which chillis got delivered is impressive. ,1,packaging thorugh chillis get deliver impressive
132,as usual fresh and good quality products... thank u daraz... ,1,usual fresh good quality product thank u daraz
133,good quality.i like it.,1,good qualityi like
134,fresh vegetables 👌👌👌,1,fresh vegetable
135,all vegetables are fresh and in reasonable price.,1,vegetable fresh reasonable price
136,Most of them have already turned pale and brown ,0,already turn pale brown
137,great product,1,great product
138,All fresh and Good quality 👍 vegetables.,1,fresh good quality vegetable
139,fresh quality products as always 👌,1,fresh quality product always
140,Some of them were rotten.,0,rotten
141,Full fresh every thing's,1,full fresh every thing
142,A 1 Quilty German Mirch,1,1 quilty german mirch
143,fresh and goofd price,1,fresh goofd price
144,Fresh vegetables. ,1,fresh vegetable
145,Wrong article,0,wrong article
146,"Amazing experienced again... bought variety of vegetable and fruits!
love the quality and quantity is great within this economical price... 100% authentic and fresh all of them. All were separetly packed and big size. Seller is so responsive, highly recommended. Thanks to daraz and team hero's for fast shipment :)",1,amazing experience buy variety vegetable fruit love quality quantity great within economical price 100 authentic fresh separetly pack big size seller responsive highly recommend thank daraz team heros fast shipment
147,all vegetables and bread 🥪 very fresh and good quality really very happy to buy same a always recommended to buy from Daraz,1,vegetable bread fresh good quality really happy buy always recommend buy daraz
148,very bad experience all vegetables are expired specially ginger is totally rotten. Some items also short. ,0,bad experience vegetable expire specially ging totally rotten item also short
149,"Premium Quality vegetables, all vegetables were fresh, well packed timely delivered fully satisfied with the seller.",1,premium quality vegetable vegetable fresh well pack timely deliver fully satisfied seller
150,Products are all fresh and of high quality.  Vegetables  german mirch and nicely packed. Thanks daraz.pk,1,product fresh high quality vegetable german mirch nicely pack thank darazpk
151,"These are neat and clean. happy to shop, green chillies received all fresh, well packed, quick delivery, anyway value for what you paid 👍",1,neat clean happy shop green chilli receive fresh well pack quick delivery anyway value pay
152,"once I ordered Vegetables n fruits from daraz I stopped going out for the same and the reason is each and every thing they deliver is fresh and with great quality n quantity.
Thankx ",1,order vegetable n fruit daraz stop go reason every thing deliver fresh great quality n quantity thankx
153,Amazing experienced to bought this german chilli. chilli were so fresh and well packed. deliver on time highly recommended!,1,amazing experience buy german chilli chilli fresh well pack deliver time highly recommend
154,All vegetables fresh and of good quality...This was my first experience and I can say Daraz has made life  so easy ...good and prompt service Ma Sha Allah,1,vegetable fresh good qualitythis first experience say daraz make life easy good prompt service sha allah
155,All vegetables are good fresh and at reasonable price with compare to our nearer market vegetables.,1,vegetable good fresh reasonable price compare near market vegetable
156,Items were fresh and timely delivered quantity is also good and in reasonable price thanks Daraz. ,1,item fresh timely deliver quantity also good reasonable price thank daraz
157,I ordered German chilli n you delivered big chillies it happened 3rd time very disappointing. ,0,order german chilli n deliver big chilli happen 3rd time disappointing
158,I am very satisfied customer of Daraz / D Fresh all items are truly fresh 10 out of 10 :),1,satisfied customer daraz fresh item truly fresh 10 10
159,"Amazingly fresh Quality ,good and fast service thankyou Daraz for makes our life easier",1,amazingly fresh quality good fast service thankyou daraz make life easy
160,Amazing. very good quality. professional packaging and quick delivery on second day. ,1,amazing good quality professional packaging quick delivery second day
161,Very happy with Dfesh so far.  All products were good quality.  Will order again.,1,happy dfesh far product good quality order
162,Very good experience . Fresh vegetables  delivered in time and well packaged,1,good experience fresh vegetable deliver time well package
163,all items are good fresh and received i reasonable price. good job 👍.,1,item good fresh receive reasonable price good job
164,good experience. all veges were fresh and delivered very next day.,1,good experience vege fresh deliver next day
165,Very good Quality as well as price. Love to purchase drom dfresh,1,good quality well price love purchase drom dfresh
166,the chillies are fresh and according to my desire thank daraz,1,chilli fresh according desire thank daraz
167,german green chilli is missing in my package not received ,0,german green chilli miss package receive
168,"very bad quality,  last few month your quality gone down.",0,bad quality last month quality go
169,very fresh and super quality and packing thank you daraz,1,fresh super quality packing thank daraz
170,I ordered German chillies but you delivered Shimla mirch,0,order german chilli deliver shimla mirch
171,"Fresh!
Big!
Authentic!",1,fresh big authentic
172,Everything item is as usual fresh and neatly packed.,1,everything item usual fresh neatly pack
173,all vegetables are good clean ad reasonable price.,1,vegetable good clean ad reasonable price
174,Good quality and fresh vagitables.. Recommended.. ,1,good quality fresh vagitable recommend
175,all vegetables are fresh and in reasonable price.,1,vegetable fresh reasonable price
176,very bad quality too disappointed expensive. .,0,bad quality disappoint expensive
177,Thanks for providing the fresh product on time,1,thank provide fresh product time
178,taken money for 2kg tomatoes but didn't send,0,take money 2 kg tomato do not send
179,Excellent quality. would highly recommmend,1,excellent quality would highly recommmend
180,very good vegetables and fruits 🙂🙂🙂,1,good vegetable fruit
181,"Good product, satisfied with quality",1,good product satisfy quality
182,good and fresh and on time delivery,1,good fresh time delivery
183,every goodthing was fresh and good.,1,every goodthe fresh good
184,"Very reasonable and fresh quality
",1,reasonable fresh quality
185,all vegetables are good and fresh.,1,vegetable good fresh
186,HAVE'NT RECEIVED THE PRODUCT FRAUD,0,have not receive product fraud
187,I didn't got chillies in my order,0,do not get chilli order
188,good quality and fresh asusual...,1,good quality fresh asusual
189,We didn't receive german chilli,0,do not receive german chilli
190,Rest every thing is ok and good,1,rest every thing ok good
191,Very fresh and amazing service.,1,fresh amazing service
192,Fresh vegetables and economical,1,fresh vegetable economical
193,good Quality and Good Packing ,1,good quality good packing
194,good quality and fast service,1,good quality fast service
195,Vegetables ordered were fresh,1,vegetable order fresh
196,half of chillies were ruined,1,half chilli ruin
197,all vages are good and fresh,1,vage good fresh
198,packed well on time delivery,1,pack well time delivery
199,Best quality and quantity,1,good quality quantity
200,all vegetables ae perfect,1,vegetable ae perfect
201,best quality best price ,1,good quality good price
202,Very nice. best quality.,1,nice good quality
203,Love it . . . Thanks!!,1,love thank
204,all vegi r sooo fresh,1,vegi r sooo fresh
205,Good and fresh items,1,good fresh item
206,Fresh n best. Great,1,fresh n best great
207,very poor quality,1,poor quality
208,fresh vegetables,1,fresh vegetable
209,Fresh vegetable,1,fresh vegetable
210,very small size,0,small size
211,good and fresh,1,good fresh
212,fresh received,1,fresh receive
213,beautiful 🥰,1,beautiful
214,over priced ,0,price
215,all vegetables are  very fresh thanks  daraz,1,vegetable fresh thank daraz
216,very fresh and excellent. Thanks Daraz,1,fresh excellent thank daraz
217,Recommended to buy fresh items from Daraz.,1,recommend buy fresh item daraz
218,fresh and timely delivered... satisfied ,1,fresh timely deliver satisfied
219,yesterday I ordered vegetables from daraz and received on door step nxt day. All items are fresh and good siZe. I am regular customr of dfresh. I suggest to all customers to purchase vegetables from daraz. once again daraz to delivering me at door step in corona situation.,1,yesterday order vegetable daraz receive door step nxt day item fresh good size regular customr dfresh suggest customer purchase vegetable daraz daraz deliver door step corona situation
220,I have ordered vegetables from daraz. one day ago I ordered from and received vegetables on next day at my door step. the price is also lsss from market and received fresh items. I am regular customer of daraz.,1,order vegetable daraz one day ago order receive vegetable next day door step price also lsss market receive fresh item regular customer daraz
221,I have ordered the vegetables from dfresh. Daraz gave 20% discount on purchasing and free shipping also. I received order after one day at home. thanks daraz for delivering at home in the corona situation. the price of vegetables are also less from market and all vegtables are fresh.,1,order vegetables dfresh daraz give 20 discount purchase free shipping also receive order one day home thank daraz deliver home corona situation price vegetable also less market vegtable fresh
222,Quality and delivery both recommended and appreciated. Thanks daraz.,1,quality delivery recommend appreciate thank daraz
223,I have received my order of fresh Green Chili successfully. I am always happy to buy fresh vegetables fro Daz. Strongly recommded to buy it.,1,receive order fresh green chili successfully always happy buy fresh vegetable fro daz strongly recommde buy
224,I received my order of DFresh. The item received same as described and good quality. I am satisfied for delivery of quality product. Recommended to buy DFresh online from Daz.,1,receive order dfresh item receive describe good quality satisfied delivery quality product recommend buy dfresh online daz
225,Satisfied with the quality and quantity. They are reasonable in price. it is a great  convenience to purchase from Daraz  alhamdulilah ,1,satisfied quality quantity reasonable price great convenience purchase daraz alhamdulilah
226,Amazing - Fresh and fast delivery of Green Thick Chilli. I am so happy to buy online fresh vegetables through Daraz. Recommend to buy online from Daraz.,1,amazing fresh fast delivery green thick chilli happy buy online fresh vegetable daraz recommend buy online daraz
227,Great.. Fresh and fast delivery of Chilli. I am so happy ti buy online fresh vegetables through Daraz. Recommend to buy through Daraz.,1,great fresh fast delivery chilli happy ti buy online fresh vegetable daraz recommend buy daraz
228,i am very happy to find fresh Green Thick Chilli.  I always trust on Daraz to buy fresh vegatbles. Delivery made well in time. thank u Dz and seller.,1,happy find fresh green thick chilli always trust daraz buy fresh vegatble delivery make well time thank u dz seller
229,These green chillies  are so big in size. They are good in quantity and quality . Fresh and premium quality is send. Thank you ,1,green chilli big size good quantity quality fresh premium quality send thank
230,Thanks Daraz and seller for  Good quality fresh green chilli. I always recommend Daraz for fresh and premium quality vegetables.,1,thank daraz seller good quality fresh green chilli always recommend daraz fresh premium quality vegetable
231,I regularly buy vegetables/fruits through Daraz.  As usual this also received the fresh and good quality green Chilli. Thanks Daraz n Seller too.,1,regularly buy vegetablesfruit daraz usual also receive fresh good quality green chilli thank daraz n seller
232,"I am happy to receive lush n fresh Green Chile.
  Also good packing and well time delivery. Thanks Daraz.",1,happy receive lush n fresh green chile also good packing well time delivery thank daraz
233,Lush green and fresh fat Green Thick Chilli received.  I am completely satisfied with the seller as well as Daraz.,1,lush green fresh fat green thick chilli receive completely satisfied seller well daraz
234,very fresh and good quality thick chili all order was also delivered on time and fresh... satisfied with my order will shop again INSHAHALLAH ,1,fresh good quality thick chili order also deliver time fresh satisfied order shop inshahallah
235,My favorite chillies and well packed good and fast delivery ,1,favorite chilli well pack good fast delivery
236,The chilies were fresh and well packed. I would buy again . They look great !,1,chilie fresh well packed would buy look great
237,"fresh and good 
quick delivery 
low price as compare to local market ",1,fresh good quick delivery low price compare local market
238,Best green chillies are send and they are like farm fresh in quality ,1,good green chilli send like farm fresh quality
239,Very fresh n full peas recived from draz in short time thank youdraz,1,fresh n full pea recive draz short time thank youdraz
240,Green thick chillies are fresh except a few. Over all the quality is good! Thanks seller and Daraz! ,1,green thick chilli fresh except quality good thank seller daraz
241,"First of all, the item is not as described. I ordered Moti mirch but they sent normal one. Also i ordered a kilo of these in which half were rotten. I expect daraz to fix their product",0,first item describe order moti mirch send normal one also order kilo half rotten expect daraz fix product
242, Good A Quality product with free home delivery. Although it takes more than 24 hrs to deliver but its reasonable,1,good quality product free home delivery although take 24 hrs deliver reasonable
243,The green thick chilli is not fresh and part of it is rotten.,0,green thick chilli fresh part rotten
244,Fresh and clean vegitables. thanks daraz for great service. ,1,fresh clean vegitable thank daraz great service
245,fresh each and everything.,1,fresh everything
246,"Super high quality vegetables and fruit, had a great bbq.",1,super high quality vegetable fruit great bbq
247,fresh goods and timely delivery. Ordered again as well.,1,fresh good timely delivery order well
248,I get delicious and best vegetable at my doorstep. Thank-you seller and Daraz Service's.,1,get delicious good vegetable doorstep thankyou seller daraz service
249,"on time delievery...
good quality
but send me small one as they mentioned in desxription",1,time delievery good quality send small one mention desxription
250,Amazing speed delivery. fresh products received. thank you! will buy again InShaAllah.,1,amazing speed delivery fresh product receive thank buy inshaallah
251,The green chillies look perfectly green and thick. ,1,green chilli look perfectly green thick
252,perfectly fresh green thick chillies as described.,1,perfectly fresh green thick chilli describe
253,Good quality and fresh product. totally satisfied.,1,good quality fresh product totally satisfied
254,Green Chillies are fresh and Looks very Good.,1,green chilli fresh look good
255,Fresh Green and not really spicy. Good Job.,1,fresh green really spicy good job
256,Some of these are broken or leaked. so 3/5,0,broken leak 35
257,great service as always.happy shopping,1,great service alwayshappy shopping
258,fresh and good quality  products thanks daraz for super fast service !,1,fresh good quality product thank daraz super fast service
259,Fresh same as last time thanks daraz,1,fresh last time thank daraz
260,Good quality and fresh Green chilli received. I always trust and thanks to Daraz n Seller for providing good quality vegetables. I also recommend to buy online good quality vegetables.,1,good quality fresh green chilli receive always trust thank daraz n seller provide good quality vegetable also recommend buy online good quality vegetable
261,will buy again InshaALLAH....👍👍👍,1,buy inshaallah
262,fresh and good. highly recommended ,1,fresh good highly recommend
263,Great chilled and good quality an quantity of the chilies. ,1,great chill good quality quantity chilie
264,"fresh and good 
quick delivery 
",1,fresh good quick delivery
265,more then perfect that shown. I become a regular buyer now.,1,perfect show become regular buyer
266,fresh and clean and good quality like just taken from tree,1,fresh clean good quality like take tree
267,fresh and good ,1,fresh good
268,great quality best price and on time delivery,1,great quality good price time delivery
269,So tasty and fresh make me a regular buyer,1,tasty fresh make regular buyer
270,"thin chilli, different than displayed",0,thin chilli different display
271,Good and fresh. Delivered next day. ,1,good fresh deliver next day
272,"Recommended, Good quality and fresh.",1,recommend good quality fresh
273,fresh and clean ... satisfied 👍,1,fresh clean satisfy
274,Fresh and quick. Satisfactory.,1,fresh quick satisfactory
275,"Good quality,  I recommend it.",1,good quality recommend
276,Very fresh and good taste.,1,fresh good taste
277,amazing fresh quality,1,amazing fresh quality
278,Very fresh and clean.,1,fresh clean
279,Fresh and thick👍,1,fresh thick
280,Vry fresh chilies,1,vry fresh chilie
281,good and fresh ,1,good fresh
282,Good and fresh,1,good fresh
283,Good and spicy,1,good spicy
284,Great quality,1,great quality
285,I received my order of DFresh. The item received same as described and good quality Chilli. I am satisfied for delivery of quality product. Recommended to buy DFresh online from Daz.,1,receive order dfresh item receive describe good quality chilli satisfy delivery quality product recommend buy dfresh online daz
286,"i receved fresh green chilli in very nice packing within 15 hours.  I love to buy vegetable through Daraz because it is time and money saving. 
Recommend to buy theough Daraz. ",1,receve fresh green chilli nice packing within 15 hour love buy vegetable daraz time money save recommend buy theough daraz
287,First of all I am thankful to Daraz for delivery of fresh and premium quaity vegetables and fruit. I buy ftesh vegetables/fruit from Daraz (Dfresh) since long and even no single complaint noted. Daraz online shopping platform infact a symbole of Quality product. I recommend to buy from Daraz,1,first thankful daraz delivery fresh premium quaity vegetable fruit buy ftesh vegetablesfruit daraz dfresh since long even single complaint note daraz online shopping platform infact symbole quality product recommend buy daraz
288,"As described, the Green Thick Chilli good quality, arrived quickly, in reasonable price. Quality of the wrapping is also high-standard. I Highly Recommend this Seller. I would buy again and again.

Due to high risk of covid in markets i prefer to buy online vegetables from Daraz.  Daraz is trustworthy platform for online shipping.",1,describe green thick chilli good quality arrive quickly reasonable price quality wrapping also highstandard highly recommend seller would buy due high risk covid market prefer buy online vegetable daraz daraz trustworthy platform online shipping
289,"I received fresh Thick Chilli which make our food more spicy.  Received in well packing and fast delivery

I am much happy and always prefer to buy fresh vegetables and fruits from Daraz. Because I receive fresh and reliable vegetables/fruits  in reasonable price without wasting any time.",1,receive fresh thick chilli make food spicy receive well pack fast delivery much happy always prefer buy fresh vegetable fruit daraz receive fresh reliable vegetablesfruit reasonable price without waste time
