Reviews,Labels
Quality and delivery both recommended and appreciated. Thanks daraz.,1
I have received my order of fresh Green Chili successfully. I am always happy to buy fresh vegetables fro Daz. Strongly recommded to buy it.,1
I received my order of DFresh. The item received same as described and good quality. I am satisfied for delivery of quality product. Recommended to buy DFresh online from Daz.,1
Satisfied with the quality and quantity. They are reasonable in price. it is a great  convenience to purchase from Daraz  alhamdulilah ,1
Amazing - Fresh and fast delivery of Green Thick Chilli. I am so happy to buy online fresh vegetables through Daraz. Recommend to buy online from Daraz.,1
Great.. Fresh and fast delivery of Chilli. I am so happy ti buy online fresh vegetables through Daraz. Recommend to buy through Daraz.,1
i am very happy to find fresh Green Thick Chilli.  I always trust on Daraz to buy fresh vegatbles. Delivery made well in time. thank u Dz and seller.,1
These green chillies  are so big in size. They are good in quantity and quality . Fresh and premium quality is send. Thank you ,1
Thanks Daraz and seller for  Good quality fresh green chilli. I always recommend Daraz for fresh and premium quality vegetables.,1
I regularly buy vegetables/fruits through Daraz.  As usual this also received the fresh and good quality green Chilli. Thanks Daraz n Seller too.,1
"I am happy to receive lush n fresh Green Chile.
  Also good packing and well time delivery. Thanks Daraz.",1
Lush green and fresh fat Green Thick Chilli received.  I am completely satisfied with the seller as well as Daraz.,1
very fresh and good quality thick chili all order was also delivered on time and fresh... satisfied with my order will shop again INSHAHALLAH ,1
My favorite chillies and well packed good and fast delivery ,1
The chilies were fresh and well packed. I would buy again . They look great !,1
"fresh and good 
quick delivery 
low price as compare to local market ",1
Best green chillies are send and they are like farm fresh in quality ,1
Very fresh n full peas recived from draz in short time thank youdraz,1
Green thick chillies are fresh except a few. Over all the quality is good! Thanks seller and Daraz! ,1
"First of all, the item is not as described. I ordered Moti mirch but they sent normal one. Also i ordered a kilo of these in which half were rotten. I expect daraz to fix their product",0
 Good A Quality product with free home delivery. Although it takes more than 24 hrs to deliver but its reasonable,1
The green thick chilli is not fresh and part of it is rotten.,0
Fresh and clean vegitables. thanks daraz for great service. ,1
fresh each and everything.,1
"Super high quality vegetables and fruit, had a great bbq.",1
fresh goods and timely delivery. Ordered again as well.,1
I get delicious and best vegetable at my doorstep. Thank-you seller and Daraz Service's.,1
"on time delievery...
good quality
but send me small one as they mentioned in desxription",1
Amazing speed delivery. fresh products received. thank you! will buy again InShaAllah.,1
The green chillies look perfectly green and thick. ,1
perfectly fresh green thick chillies as described.,1
Good quality and fresh product. totally satisfied.,1
Green Chillies are fresh and Looks very Good.,1
Fresh Green and not really spicy. Good Job.,1
Some of these are broken or leaked. so 3/5,0
great service as always.happy shopping,1
fresh and good quality  products thanks daraz for super fast service !,1
Fresh same as last time thanks daraz,1
Good quality and fresh Green chilli received. I always trust and thanks to Daraz n Seller for providing good quality vegetables. I also recommend to buy online good quality vegetables.,1
will buy again InshaALLAH....👍👍👍,1
fresh and good. highly recommended ,1
Great chilled and good quality an quantity of the chilies. ,1
"fresh and good 
quick delivery 
",1
more then perfect that shown. I become a regular buyer now.,1
fresh and clean and good quality like just taken from tree,1
fresh and good ,1
great quality best price and on time delivery,1
So tasty and fresh make me a regular buyer,1
"thin chilli, different than displayed",0
Good and fresh. Delivered next day. ,1
"Recommended, Good quality and fresh.",1
fresh and clean ... satisfied 👍,1
Fresh and quick. Satisfactory.,1
"Good quality,  I recommend it.",1
Very fresh and good taste.,1
amazing fresh quality,1
Very fresh and clean.,1
Fresh and thick👍,1
Vry fresh chilies,1
good and fresh ,1
Good and fresh,1
Good and spicy,1
Great quality,1
I received my order of DFresh. The item received same as described and good quality Chilli. I am satisfied for delivery of quality product. Recommended to buy DFresh online from Daz.,1
"i receved fresh green chilli in very nice packing within 15 hours.  I love to buy vegetable through Daraz because it is time and money saving. 
Recommend to buy theough Daraz. ",1
First of all I am thankful to Daraz for delivery of fresh and premium quaity vegetables and fruit. I buy ftesh vegetables/fruit from Daraz (Dfresh) since long and even no single complaint noted. Daraz online shopping platform infact a symbole of Quality product. I recommend to buy from Daraz,1
"As described, the Green Thick Chilli good quality, arrived quickly, in reasonable price. Quality of the wrapping is also high-standard. I Highly Recommend this Seller. I would buy again and again.

Due to high risk of covid in markets i prefer to buy online vegetables from Daraz.  Daraz is trustworthy platform for online shipping.",1
"I received fresh Thick Chilli which make our food more spicy.  Received in well packing and fast delivery

I am much happy and always prefer to buy fresh vegetables and fruits from Daraz. Because I receive fresh and reliable vegetables/fruits  in reasonable price without wasting any time.",1
"I received fresh Green Thick Chilli with good packing and fast delivery. Green chillies have higher water content and zero calories and rich source of beta carotene & antioxidants.

I am much happy and always prefer to buy fresh vegetables and fruits from Daraz. Because I receive fresh and reliable vegetables/fruits  in reasonable price without wasting any time.",1
First of all I am thankful to Daraz for delivery of fresh and premium quaity vegetables and fruit. I prefer to buy ftesh vegetables/fruit from Daraz (Dfresh) since long and even no single complaint noted. Daraz online shopping platform infact a symbole of Quality product. I recommend to buy from Daraz.,1
Good quality fat Green Chilli i have received.  I am happy with Daraz.  Seller is also so good who provide fresh vegetables.,1
"Initially the quality and delivery time both has been good. But last order was more than disappointing in terms of delivery time and quality both. Concerned must consider my honest reviews. First time when I ordered, all items were super premium, but now, not even close. I'll try one time more, and if same, I will quit ordering here.",0
"Very fresh vegetables,last time it was not as fresh as it should be due to hot weather i think but this time I'm satisfied... thanks dFresh👍",1
"i am a regular buyer of d fresh,my experience is great,Alhamdu Lillah .get all the goods fresh n cheaper than market",1
"What a fantastic and convenient service delivering stuff at home and absolutely fresh as well. Without a doubt , this is the best daraz has to offer. Never worried about the quality as they don't compromise on it",1
"Actually what I received was not actually what mentioned here, i got thin green chillies instead of thick one ",0
"My first choice is always D-fresh Daraz,as they send me fresh fruit and vegetables and so quick too.😊",1
The product were so good and fresh and cheaper than the market price I order many fruits and vegetables they are so fresh i recommended to everyone to buy fresh fruit and vegetables from dfresh and delivery was very fast and free home delivery ,1
Fresh ever I ordered almost 10 times I am well satisfied with product freshness and packaging delivered very soon. thanks dfresh and daraz.,1
fresh n fine also price is less as compared to market but also avail 10% discount on Askari Master Card. thanks daraz ,1
It was a great experience! I received the fruits and vegetables within a day and the quality was excellent and the price was actually less than market. They were clean and shiny and were packed in an excellent way. ,1
"This is my 4th order of vegi from daraz, my overall experience is very good. They are offering free delivery on fresh fruit and vegetables. Vegetables and fruits are always fresh and in good quality. Their prices are always cheap then the market retailers.   ",1
Excellent product. Economical and quality is 5 star. Love this vendor. More than 100% fresh product and good in taste.,1
"dfresh item were travel whole day in non-AC van, due to summer item was not as fresh as claimed.",0
"when ever i order these chillies,they send jalapeno instead.kindly send correct order next time",0
"I asked for Thick (Moti Mirach) Chilli but delivered thin one (Patli), which was not requested.",0
The product was not as described.i ordered the large green chillies but it came the normal one.,0
fresh product as described and delivery on time. I am happy shopping with Daraz.,1
im regular customer of dfresh but this time vegetables are not as fresh as expected.,0
Prices are too high but don't like shopping vegetables and fruits from daraz ,0
Had complaint before but now received great quality as received first day.,1
Fresh vegetables  and I m regular customer  of dfresh good prices ,1
The product matched the description. I like the green medium sized chilly. Good seller,1
Every item is good and fresh.thanks for sending fresh items,1
dfresh is the name of freshness ad quality....love it,1
"Fresh, well packed, cheap and strongly recommended ",1
All the vegetables were fresh recommend this seller,1
best in quality and taste. I am now regular buyer.,1
"best quality and fresh product in minimum price.
",1
"OK, however, I thought it will be big and thick",1
"Excellent service
Fresh vege
Highly recommended",1
"Very good, fresh quality. Absolutely impressed",1
Fresh and well packed. Deliver in time. 5 Star,1
I always give them 5-stars. They are the best,1
"Great experience, good service, fresh things",1
Very fresh little bit late but happy to see,1
"Fresh and Premium Quality , Thanks Daraz",1
"Well done dfresh and daraz.
Keep it up.",1
very fresh on lowest prices than market,1
"received fresh, price below market rate",1
Same great quality and quick delivery.,1
Good &fresh product. Delivered in time,1
love their sabzi always buy from them,1
"Really Good Product.
Fast Delivary.
",1
Fav. Item... A 1 quality green lush,1
"Excellent quality, fresh vegetables",1
Good & fresh vegetables. Thanks,1
"Thin Chilli, Not as Described. ",0
fresh and lush green. amazing.,1
Nice fresh and superb quality,1
you sent me the wrong chilli.,0
recommended regular customer,1
Very good quality and fresh,1
Fresh and fine. Thx Daraaz,1
Fresh and excellent items,1
arrived as advertised :),1
Nice and fresh quality ,1
Good really freh green ,1
Good quality and fresh ,1
fresh and good quality,1
Below my expectations.,0
fresh and well packed ,1
Good quality and fresh,1
Fresh fresh and good ,1
Always my favorite ,1
great n real fresh,1
very good n fresh,1
fresh vegetables ,1
Happy with it !!,1
Good and fresh ,1
Same received. ,1
Size r not same,0
Dried out.,0
no words,1
"I got my parcel today, it is very tasty and creamy🥰and  thank you Soo much for free chocolates",1
I got my parcel today it came with a free chocolate and I didn't tried cheese yet hope it will be tasty ,1
nice product. original. definitely recommend!,1
well packed and great taste 👌😋,1
"The vegetables were  well packed 😍 and price is also reasonable🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
",1
"good service fresh cucumber
thanks daraz for fast shipping.",1
"Vegetables Received in Good Condition, Each Stuff well packed. Fresh and Clean. Next day Delivery. Seller Recommended. Dfresh Always give Good Quality & Cheap  Price compare to Market. Thanks Dfresh for making our shopping easy. Great Shopping Experience as always with Daraz.",1
"This is my SECOND order at DFresh, No Doubt, Supplier did a Great Job. Parcel Received in Good Condition, Each Stuff well packed. Fresh and Clean. Next day Delivery. Seller Recommended.NO MORE MANDI(Fruits & Vegitable Market) ONLY DFRESH. Becuase at DFRESH im getting good quality of Vegetables & Fruits in good Offers....Thanks DFRESH for making our shopping easy. Great Shopping Experience as always with Daraz.",1
"fresh products, fast delivery.....thumbs-up",1
"Recieved my vegies 2nd day of placing order fresh but not cleaned this time, but very happy with eggs, packed very properly quantity & quality is good. Carrots are not that much fresh like previous orders, considering that i got some veggies bit higher than market rate , Ill rate 8.5/10 ",1
good quality cucumbers and delivered safely. price was also good. I like dfresh service. keep your service up to mark.,1
"Good and fresh items some items changed but fresh less expiry date but OK need some packaging improvement recommended seller 
",1
"good quality, first order, very impressive, now I will order again, price is good as well, impressive packing n delivery , timely delivery, very appreciable",1
"Quality products, 
received in good condition.
nicely packed 🤠
good product 👍
 Recommended seller 👍",1
The cucumber did not seem very fresh. One of the 3 was also cut up and spoilt around the cut. Slightly karwa taste.,0
fresh premium cocumbers. packed well. keep it up. a regular buyer of dfresh. enjoying your services.,1
"Good Quality Cucumber in Cheap Price.
Welldone DFresh.",1
Fresh & best quality. I'm very happy & seller is cooperative. Thanks Daraz.pk 🙂,1
fresh products and quick delivery.,1
Everything is so fresh and delivered on time i like daraz as always,1
Fresh vegetables and fruit. As expected of daraz. Always delivered on time. Packaging  is also outstanding.Nothing was squashed.Keep it up.,1
"Highly recommend,fresh and good quality,best veggies we get from d fresh best than market,and quality wise price is reasonable",1
"i was a bit sceptical before ordering but belive me everything was just perfect. on time and fresh
recommended to everyone ",1
Always a good experience to buy from dFresh. The groceries are fresh and nicely picked. Thanks seller. ,1
"Good and fresh items some items changed but fresh less expiry date but OK need some packaging improvement recommended seller 
",1
I am a regular customer of dfresh. The team is very cooperative. All veggies and fruits are fresh. Prices are reasonable and free shipping option is awesome. Keep it up dfresh. I will be ordering many many times more in the future. ,1
"The vegetables were fresh and well packed. Product was delivered next day. The deliver workers were also taking care of precautionary measure due to corona outbreak. All vegetables were ozone washed. I m completely satisfied and wondering myself that why i didn't use this service early. Thanks Daraz, Thanks DFresh.❤",1
keep it up. a regular buyer of dfresh. enjoying your services. fresh cucumbers delivered on time.,1
"Fresh vegetables.
On time delivered.
Reasonable Price..👍👍👍",1
"As described, premium cucumbers. Thanks daraz and seller for making grocery shopping easy.",1
"Always send me fresh vegetables at reasonable price. 
",1
"Not as described. Ordered 2 kg, and they 1.77 kg.
Usually they sent items under weight.",0
"fresh vegetables 
good weight
next day delivery 
better than market 
recommended ",1
The comumber is fresh and i like it. I am satisfied with quality of the cucumber ,1
"fresh and fine, happy and satisfied, recommend",1
Fine Quality Cocumber.. Weight is ok.. Quality is good. Packing is also good.. ,1
"fresh and very reasonable price, and delivery next day of order , thanks daraz",1
"Product received in amazing quality
Quick shipping
Seller is very cooperative ",1
"Product received in amazing quality
Quick shipping
Seller is very cooperative ",1
Fresh & nice quality. Thank you Daraz.pk 🙂,1
"good quality and very good service of delivery, good fresh vegetables",1
"happy and satisfied, good and fresh",1
Yeah! Cucumbers were very fresh and very juicy. The price was low but the quality was very high. I really enjoyed a lot. I highly recommend to buy from this seller. Thank you.,1
Quality Vegetables in Good Price.,1
It was good. Thanks Daraz.,1
"good quality and very good service of delivery, good fresh ",1
quality of dfresh is good,1
Fresh product and very fast delivery in reasonable prices ,1
"Nice experience
 product received in time
 Thanks Seller",1
Arrived quickly and everything is fresh. Recommended!,1
"Excellent product, fresh, on time delivery, Recommended",1
"Nice experience
product received in time
 Thanks Seller",1
Instead of 500 grams sent me 425 grams. Also not fresh.,0
fresh vegetables and great service with free delivery ,1
"Nice experience
product received in time
Thanks Seller",1
"Nice experience
Product Received in time
THANKS SELLER",1
"NICE EXPERIENCE
PRODUCT RECEIVED IN time
THANKS Seller",1
The cucumbers are fresh and good in quality. Satisfied,1
"fresh and best thing is no delivery charges.. 
thanks ",1
thankyou seller give a good product thanks to daraz,1
"good quality and fresh vegetables 
thanks daraz..",1
good quality product n great service n packing,1
Excellent quality dMart highly recommended 💯,1
"good n fresh vegetables ,next day delivery ",1
Nice products and best delivery timing. ,1
"nice product, great service by seller.",1
Very good product in reasonable price ,1
Thanks for good services. I am happy! ,1
Fresh Cucumber.. With gud packing.. No compromise on quality by Dfresh ,1
Packaging was excellent and delivered perfectly. No damadge product.. ,1
good and fresh product from dfresh ,1
fresh cucumber. highly recommended,1
All fresh Elhamdulillah thank you,1
i m a regular customer of dmart and totally satisfied with quality,1
Good product with fast delivery ,1
Fresh and reasonable vegetables ,1
Just 2 left for taking pics. Were really fresh in taste.,1
very good and fresh,1
Fresh vegetables ,1
fresh good thanks,1
"fresh cucumber

price is low 

recommend to other",1
vegetable good,1
Happy shopping,1
"good experience, very much fresh. thanks.",1
"Fresh cucumbers, highly recommended 👍
",1
Happy good and fresh all vegetables,1
"Good Quality 👍
recommended Seller",1
Gud and cheaper than market,1
Nice and fresh.  Thank you,1
very fresh and get ontime,1
Healthy and Fresh Kheera,1
fresh and clean products,1
Very fresh and good ,1
All good and fresh ,1
All good thank u,1
Timely delivered. Superb quality. Thumbs up 👍 thanks daraz  happy customer 😁,1
I ordered but didn't receive this item in the package I received. Fraud company. beware all,0
I love how Dmart has turned getting fresh vegetables and fruits at your fingertips. Thank you Daraz ,1
"Best quality even better products than the market highly recommended 👍

I order 30 products and all are in same weight and excellent quality ",1
all vegetables were fresh except band gobhi. I asked the rider to replace it. He started telling me that it was fresh and started misbehaving. ,0
"very fresh products. price is very low as compared market.
Delivery was also free. Good experience.
highly recommended.",1
"excellent quality and good service. it solved my biggest problem to buy fresh vegetables, now I will only order at dfresh for veggies.thanks daraz n keep your quality same  ",1
excellent experience... used this option first time and it is simply great... no more visit to Sunday bazars.😀,1
"Wonderful experience. The vegetables were fresh, delivery was right on time. Had an excellent experience ",1
Excellent quality received as described above. Amazing Packaging and delivery service provided. Thank you daraz❤️,1
Actually ordered it from the office and without lifting a finger my family got the veges and they were fresh and looked freak. couldn't take picture but highly recommended.,1
It was great experience to buy freash vegetables and fresh fruits through Daraz. Amazingly Fresh and on time delivery. Highly Recommended.,1
"Veey disappointing experience, delivery was expected the next day but they after 3 days n quality of fruits and veggies v bad. Not recommended at all ",0
"Rotten, also delivery charges not as advertised.also plz add more fruit variety in Lahore. you charge me 299 delivery charges but advertise 70",0
